               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037572,            0.013831,           0.0060922,             0.93931,             0.94919,             0.99136,             0.69364,            0.024013,            0.004848,            0.008777,            0.007543,            0.007543,            0.007543
                  37,            0.036539,            0.013757,           0.0057704,             0.94296,             0.92641,             0.94128,             0.65882,            0.024436,           0.0044647,            0.013967,            0.007416,            0.007416,            0.007416
                  38,            0.036182,            0.013329,           0.0049243,             0.87117,             0.92352,             0.95305,             0.74475,            0.023661,           0.0048193,           0.0084081,           0.0072872,           0.0072872,           0.0072872
                  39,              0.0339,            0.012541,           0.0063378,             0.72382,             0.90449,             0.86993,             0.47355,            0.033334,           0.0051724,            0.016016,           0.0071566,           0.0071566,           0.0071566
                  40,            0.037949,            0.012232,           0.0057415,              0.9456,             0.96669,             0.98409,             0.56117,            0.028436,           0.0052127,           0.0048504,           0.0070243,           0.0070243,           0.0070243
                  41,             0.03396,            0.012026,           0.0055977,             0.97841,             0.90037,             0.97656,             0.67009,            0.026784,           0.0045429,            0.010223,           0.0068906,           0.0068906,           0.0068906
                  42,            0.033557,            0.012453,           0.0045793,             0.96604,             0.89476,             0.94675,             0.68123,            0.021896,           0.0044426,            0.011332,           0.0067555,           0.0067555,           0.0067555
                  43,             0.03156,             0.01164,           0.0057912,             0.95737,             0.93983,              0.9761,             0.75712,            0.019469,           0.0041788,            0.011408,           0.0066191,           0.0066191,           0.0066191
                  44,            0.032829,            0.012669,           0.0045235,             0.97462,             0.94883,             0.99136,             0.70842,            0.022508,           0.0043036,             0.00571,           0.0064816,           0.0064816,           0.0064816
                  45,            0.030475,            0.011652,           0.0042135,             0.93542,              0.9166,             0.95914,             0.68025,            0.022772,            0.004015,            0.010278,           0.0063432,           0.0063432,           0.0063432
                  46,            0.030942,            0.013115,            0.004453,             0.92179,                0.94,             0.93977,             0.77296,            0.020244,           0.0042122,            0.013768,            0.006204,            0.006204,            0.006204
                  47,            0.031318,            0.011822,           0.0049178,             0.99009,             0.91939,             0.98985,             0.68003,            0.021508,           0.0045217,           0.0071779,            0.006064,            0.006064,            0.006064
                  48,            0.030209,            0.011943,           0.0039703,             0.96417,              0.9751,             0.99318,              0.7989,            0.018283,           0.0037357,           0.0055877,           0.0059235,           0.0059235,           0.0059235
                  49,            0.030776,            0.010944,           0.0039209,             0.85202,             0.97979,             0.93892,             0.73325,            0.020365,           0.0038201,           0.0076212,           0.0057826,           0.0057826,           0.0057826
                  50,            0.026937,            0.010558,            0.003365,             0.95944,             0.97986,             0.97358,             0.80192,            0.016509,           0.0034789,           0.0063989,           0.0056413,           0.0056413,           0.0056413
                  51,            0.030039,            0.011576,           0.0040046,             0.97036,             0.95623,              0.9847,             0.78408,            0.018183,            0.003617,           0.0076431,              0.0055,              0.0055,              0.0055
                  52,            0.026515,             0.01156,           0.0030127,             0.96889,             0.94415,             0.97313,             0.74232,            0.017406,           0.0035647,           0.0082388,           0.0053587,           0.0053587,           0.0053587
                  53,            0.027305,            0.011446,            0.003726,             0.91624,             0.93996,             0.93416,             0.74703,            0.014976,           0.0034586,             0.01388,           0.0052174,           0.0052174,           0.0052174
                  54,            0.028128,            0.010678,           0.0029782,             0.95936,                0.92,             0.93461,             0.72957,            0.017625,           0.0034475,            0.012795,           0.0050765,           0.0050765,           0.0050765
                  55,             0.02639,             0.01001,           0.0032881,             0.97354,             0.91819,             0.96086,             0.70631,            0.017876,           0.0036389,            0.011183,            0.004936,            0.004936,            0.004936
                  56,            0.025691,            0.010441,           0.0031074,             0.91656,             0.92229,             0.95976,             0.81572,             0.01617,           0.0034796,            0.010592,            0.004796,            0.004796,            0.004796
                  57,            0.026024,             0.01186,           0.0033083,             0.98029,             0.94071,             0.96852,             0.79772,            0.016626,           0.0034094,           0.0095481,           0.0046568,           0.0046568,           0.0046568
                  58,            0.025716,            0.010262,           0.0029326,              0.9673,              0.9378,             0.97114,             0.71007,            0.020707,            0.003863,            0.011333,           0.0045184,           0.0045184,           0.0045184
                  59,            0.026271,             0.01069,           0.0028416,              0.9791,                0.98,             0.99318,             0.82842,            0.015555,            0.003486,           0.0055213,           0.0043809,           0.0043809,           0.0043809
                  60,            0.023413,           0.0099018,           0.0025043,             0.97788,             0.98237,             0.98773,             0.82911,            0.017956,           0.0034935,           0.0041508,           0.0042445,           0.0042445,           0.0042445
                  61,            0.023731,            0.010101,           0.0025973,             0.97157,             0.97999,             0.98955,              0.8062,            0.015496,           0.0033053,           0.0046283,           0.0041094,           0.0041094,           0.0041094
                  62,            0.023225,             0.01015,           0.0027028,             0.96857,             0.97997,             0.97404,             0.83849,            0.016728,           0.0033843,           0.0053603,           0.0039757,           0.0039757,           0.0039757
                  63,            0.023252,            0.010001,           0.0028437,             0.96391,               0.941,             0.95345,             0.79186,            0.016593,           0.0034626,           0.0098125,           0.0038434,           0.0038434,           0.0038434
                  64,            0.021645,            0.010523,           0.0029533,             0.94827,             0.94003,             0.94117,             0.82124,            0.013254,           0.0031169,             0.01177,           0.0037128,           0.0037128,           0.0037128
                  65,            0.021752,            0.010592,           0.0022473,             0.95069,                0.94,             0.94588,             0.80134,             0.01262,           0.0031782,             0.01276,            0.003584,            0.003584,            0.003584
                  66,            0.021841,            0.010257,            0.002655,               0.948,             0.94001,             0.95071,             0.81385,            0.014279,           0.0033928,            0.013087,            0.003457,            0.003457,            0.003457
                  67,            0.021725,           0.0092111,           0.0031049,             0.93608,             0.93992,             0.91894,             0.80728,            0.012684,           0.0030545,            0.014888,           0.0033321,           0.0033321,           0.0033321
                  68,            0.020976,             0.00955,           0.0024722,             0.94358,             0.92002,              0.9666,             0.77471,            0.015802,           0.0032927,            0.012583,           0.0032093,           0.0032093,           0.0032093
                  69,              0.0224,           0.0091901,           0.0026097,              0.9659,             0.94001,             0.97312,             0.82346,            0.014194,           0.0031947,           0.0094292,           0.0030888,           0.0030888,           0.0030888
                  70,            0.020497,           0.0097756,           0.0019836,             0.99864,             0.96092,               0.995,             0.86457,            0.012688,           0.0030399,           0.0036306,           0.0029706,           0.0029706,           0.0029706
                  71,            0.020603,           0.0095421,            0.002209,             0.98078,             0.96075,             0.98205,             0.86791,            0.011021,           0.0029531,           0.0061402,            0.002855,            0.002855,            0.002855
                  72,            0.020077,           0.0098862,            0.001876,             0.97021,             0.96106,              0.9718,             0.84154,            0.013342,           0.0032449,           0.0079061,           0.0027419,           0.0027419,           0.0027419
                  73,            0.019112,            0.008326,            0.001967,             0.94852,             0.95999,              0.9674,             0.86236,            0.012203,           0.0028545,           0.0087605,           0.0026316,           0.0026316,           0.0026316
                  74,            0.018779,           0.0093661,           0.0019173,             0.97179,             0.94586,             0.96692,             0.85795,            0.011477,           0.0027727,           0.0080861,           0.0025241,           0.0025241,           0.0025241
                  75,            0.019648,           0.0094877,           0.0018616,             0.97296,             0.96002,             0.97418,             0.88504,            0.010399,           0.0027628,           0.0070609,           0.0024195,           0.0024195,           0.0024195
                  76,            0.018236,           0.0086387,           0.0022549,             0.97732,             0.94361,             0.97513,             0.87096,            0.011346,           0.0028647,           0.0075202,            0.002318,            0.002318,            0.002318
                  77,            0.019523,            0.008828,            0.002068,              0.9758,              0.9633,             0.97644,              0.8507,            0.011839,           0.0028627,           0.0061013,           0.0022196,           0.0022196,           0.0022196
                  78,            0.017701,           0.0087062,           0.0019093,             0.97953,             0.96025,             0.97157,             0.88178,            0.010622,            0.002769,           0.0063119,           0.0021245,           0.0021245,           0.0021245
                  79,            0.016508,           0.0082835,           0.0019457,              0.9781,             0.96153,             0.98201,             0.89661,            0.010572,           0.0028032,           0.0056995,           0.0020327,           0.0020327,           0.0020327
                  80,            0.018166,           0.0096258,            0.001534,             0.97203,             0.96407,             0.99318,             0.89773,            0.010691,           0.0028183,           0.0045861,           0.0019443,           0.0019443,           0.0019443
                  81,            0.016796,           0.0083855,           0.0014041,             0.96839,              0.9653,             0.99318,             0.89703,            0.010414,           0.0028052,           0.0045669,           0.0018594,           0.0018594,           0.0018594
                  82,            0.017251,           0.0090179,           0.0013462,             0.96957,             0.96975,             0.99318,             0.88229,            0.011269,           0.0029069,           0.0038067,           0.0017781,           0.0017781,           0.0017781
                  83,            0.016614,           0.0080885,           0.0015929,             0.96502,                0.98,             0.99318,             0.90253,           0.0098273,           0.0027513,           0.0035713,           0.0017005,           0.0017005,           0.0017005
                  84,            0.015875,           0.0077606,            0.001131,             0.96106,             0.97994,             0.99136,             0.87565,            0.010976,           0.0028377,           0.0045901,           0.0016267,           0.0016267,           0.0016267
                  85,            0.016326,           0.0083258,           0.0012948,             0.97433,             0.96597,             0.99318,             0.89212,            0.011094,           0.0028958,           0.0037014,           0.0015566,           0.0015566,           0.0015566
                  86,            0.016197,           0.0083442,           0.0016001,             0.96846,              0.9652,             0.99318,             0.88584,            0.011402,           0.0028954,           0.0042526,           0.0014905,           0.0014905,           0.0014905
                  87,            0.015434,           0.0077366,           0.0011366,             0.97451,             0.96332,             0.99136,             0.88712,            0.011024,           0.0028028,           0.0044188,           0.0014283,           0.0014283,           0.0014283
                  88,            0.016445,            0.008494,           0.0013266,             0.97607,             0.96002,             0.98773,             0.89682,           0.0097976,           0.0027275,           0.0056365,           0.0013701,           0.0013701,           0.0013701
                  89,             0.01568,           0.0077066,           0.0012805,             0.97221,             0.96001,             0.97841,             0.88836,            0.010361,           0.0027863,           0.0066624,            0.001316,            0.001316,            0.001316
                  90,            0.015944,            0.007975,          0.00080718,             0.97177,                0.96,             0.98023,             0.89588,           0.0096932,           0.0027585,           0.0067237,            0.001266,            0.001266,            0.001266
                  91,            0.015375,           0.0083613,           0.0011819,             0.97492,                0.96,             0.97404,             0.89789,           0.0097329,           0.0027731,           0.0067865,           0.0012202,           0.0012202,           0.0012202
                  92,            0.014867,            0.007824,            0.001378,             0.97258,             0.95991,             0.97586,             0.88719,            0.010303,           0.0029352,           0.0068791,           0.0011787,           0.0011787,           0.0011787
                  93,            0.014825,           0.0074715,           0.0010891,             0.96595,             0.95992,             0.97404,             0.89152,           0.0092351,           0.0028334,            0.007407,           0.0011414,           0.0011414,           0.0011414
                  94,            0.015746,           0.0076742,           0.0013864,             0.97027,             0.95994,             0.97361,             0.89586,           0.0091984,           0.0028125,           0.0073041,           0.0011084,           0.0011084,           0.0011084
                  95,            0.014768,           0.0077474,           0.0011164,             0.97909,             0.96036,             0.97767,             0.89343,           0.0091903,           0.0026963,           0.0063738,           0.0010797,           0.0010797,           0.0010797
                  96,            0.015835,           0.0075988,           0.0042097,             0.97984,             0.96044,             0.98106,             0.91587,           0.0089255,           0.0026536,           0.0058021,           0.0010554,           0.0010554,           0.0010554
                  97,            0.014982,           0.0079868,           0.0012627,              0.9801,             0.96018,             0.98439,             0.90181,            0.009775,           0.0027038,           0.0055588,           0.0010355,           0.0010355,           0.0010355
                  98,            0.014505,           0.0075972,           0.0010299,             0.97938,             0.95999,             0.97838,             0.89382,           0.0096059,           0.0027115,           0.0057507,             0.00102,             0.00102,             0.00102
                  99,             0.01504,           0.0077466,           0.0011798,             0.97933,             0.96012,             0.98106,              0.9133,           0.0093578,           0.0027351,           0.0058182,           0.0010089,           0.0010089,           0.0010089
